Code_INSEE,latitude,longitude,pop,code_dep
35060,48.22226238,-1.993222623,1017,35
76418,49.55473809,0.708077198,1017,76
35202,47.79506692,-1.745127484,1017,35
64161,43.48131751,-1.091787515,1017,64
91041,48.55765202,2.244289104,1017,91
50274,48.53425839,-1.085604773,1016,50
87086,45.70389359,1.537502613,1016,87
62589,50.35023296,2.690409703,1016,62
47117,44.34176849,0.773421515,1016,47
57557,49.48595999,6.256765754,1016,57
81312,43.49676273,2.179443156,1015,81
15038,45.40401077,2.604041655,1015,15
85073,46.50502348,-1.170344253,1015,85
77211,48.58232057,2.975824759,1015,77
43115,44.96698812,4.052067142,1015,43
4173,43.97133014,6.501497122,1015,4
36071,46.79264667,1.777739811,1015,36
32083,43.80155718,0.433315812,1015,32
27169,49.41749609,0.391276016,1015,27
42155,45.81180001,4.141511997,1015,42
60358,49.19706979,2.915429607,1015,60
28075,48.04241649,1.317843349,1014,28
39150,47.05883848,5.450578371,1014,39
50433,49.62613922,-1.251421172,1014,50
67409,48.83729752,8.067193873,1014,67
27117,49.00331947,0.525834728,1013,27
87097,46.11114585,0.91401097,1013,87
11198,43.27105545,2.509911201,1013,11
16134,45.8801902,0.66373481,1013,16
38180,45.3855914,5.297799465,1013,38
27242,48.94367978,0.802460467,1013,27
63179,45.62844314,3.763042946,1013,63
71490,46.52539109,4.12604476,1013,71
59541,50.19351532,3.475066744,1013,59
85142,46.75577031,-1.29794577,1013,85
82072,44.11002743,0.856994008,1013,82
59058,50.21832014,3.965679722,1013,59
41075,48.03412471,1.065882441,1013,41
45043,47.87046645,2.047297347,1013,45
85121,46.4393119,-0.947017086,1012,85
78193,48.7037164,1.973079411,1012,78
1416,45.92269828,5.514539236,1012,1
56241,47.3537507,-3.230351289,1012,56
10084,48.41506004,4.180470139,1011,10
85297,46.37926851,-1.199283514,1011,85
7167,44.81018519,4.61974465,1011,7
33061,44.81930514,-0.410997564,1011,33
9209,43.01523425,1.175653614,1010,9
3046,46.46983413,2.954930902,1010,3
41235,47.92815485,0.863555439,1010,41
16359,45.61928841,-0.344548281,1010,16
80415,49.75096093,2.602132707,1010,80
62087,50.80609191,2.115816142,1010,62
74044,46.15005846,6.172754466,1010,74
80582,49.80613215,2.12299768,1010,80
35041,47.95117524,-1.550570308,1010,35
59132,50.1649512,3.345871285,1009,59
1373,46.13598378,5.571060164,1009,1
50297,49.16915964,-1.099984395,1009,50
50111,49.03643216,-1.271268904,1009,50
59399,50.7178436,2.657277061,1009,59
87005,45.8095051,1.401291628,1009,87
19211,45.2103986,1.641874952,1009,19
26149,45.03223219,5.202711439,1009,26
85242,46.8597253,-0.9257779,1009,85
45202,47.8085997,1.635345797,1009,45
68076,48.09490926,7.50887366,1009,68
18030,47.53513562,2.541667613,1008,18
38331,45.36320136,5.522985546,1008,38
1267,46.1830721,5.514358123,1008,1
76050,49.85018637,0.932942833,1008,76
39193,46.95051405,5.498778199,1008,39
51028,49.07583837,4.046572979,1008,51
37189,46.850003,0.930585707,1008,37
35330,48.18463418,-1.240101564,1008,35
27089,49.29895217,0.772087754,1008,27
55366,48.80720068,5.085450799,1008,55
40267,43.99800345,-0.230365829,1008,40
60433,49.26510417,2.189129974,1008,60
2387,49.80344289,3.349427525,1007,2
29074,48.48139138,-3.996759354,1007,29
57091,49.11095786,7.17855371,1007,57
59393,50.49529089,3.425385656,1007,59
78464,48.59685782,1.809552756,1007,78
47097,44.21782356,0.360960245,1007,47
59455,50.24873769,3.2635589,1007,59
85186,46.85841477,-1.256973376,1007,85
69105,45.98631459,4.647493456,1007,69
89420,47.55558892,3.17487087,1007,89
70282,47.40285665,5.806189206,1006,70
88026,48.21063988,6.571300621,1006,88
35175,47.89825615,-1.951403262,1006,35
55398,48.68922084,5.732988182,1006,55
29008,48.07175426,-4.506709393,1006,29
1407,45.94841182,5.826169799,1006,1
76331,49.61815246,1.106168268,1006,76
64250,43.50990118,-1.207718554,1006,64
88302,47.91401183,6.815857159,1005,88
41010,47.8570278,0.997062059,1005,41
12253,44.15938335,2.786257403,1005,12
11322,42.99216078,2.929736278,1005,11
17089,45.76444555,-0.53426142,1005,17
59627,50.33983106,4.0133923,1005,59
11084,43.22589611,2.254420696,1005,11
77406,48.84508749,3.199324664,1005,77
38046,45.44688233,5.379016596,1005,38
14042,49.12808535,-0.481929856,1005,14
43212,45.34747852,3.962879227,1004,43
39405,47.02230011,5.479520521,1004,39
28287,48.13856047,1.684325346,1003,28
2085,49.10467329,3.408125132,1003,2
11259,43.28110095,2.238300328,1003,11
79069,46.76254553,-0.505290758,1003,79
74198,45.93202498,6.197160464,1003,74
31233,43.40785465,1.452774632,1003,31
76663,49.7993641,0.528771172,1002,76
41239,47.25363291,1.382206337,1002,41
69173,45.88508474,4.555003769,1002,69
21332,46.9957329,5.087929462,1002,21
43038,45.34315367,3.32396531,1002,43
87045,45.98594617,1.029065837,1002,87
85067,46.67869356,-0.782949851,1002,85
80009,50.08136613,1.996040675,1002,80
16233,45.6152853,-0.013221888,1002,16
50164,48.99079059,-1.03423802,1001,50
65452,43.31754,0.365986554,1001,65
86254,46.36673309,0.865861579,1001,86
69203,45.71331722,4.495381389,1000,69
49240,47.06739072,-0.628869263,1000,49
22250,48.69983846,-3.159083402,1000,22
2B316,42.60112808,8.931558523,1000,2B
67200,48.46559675,7.680158194,1000,67
35247,48.59617376,-1.59343426,1000,35
38037,45.37847229,4.951347697,1000,38
60067,49.28757955,2.812008154,999,60
2086,49.57877655,3.212630174,999,2
74160,45.85029536,6.401135881,999,74
62097,50.24556537,2.658873376,999,62
68088,47.85648732,7.27311359,999,68
85281,46.50543218,-0.848819461,999,85
49205,47.76200319,-0.495000586,999,49
67377,48.42425244,7.136828953,999,67
16148,45.80095009,0.021470943,999,16
38259,45.42987423,4.974386329,999,38
90104,47.60940181,6.919085069,999,90
62901,50.67166504,2.388178714,999,62
29281,48.02658242,-3.824097925,998,29
7007,44.93975846,4.734132133,998,7
79204,46.18576744,-0.245561861,998,79
29001,48.24960527,-4.298671726,998,29
17273,45.636713,-0.459608408,998,17
59190,50.3048578,4.011400191,998,59
72075,47.92870391,-0.012434342,998,72
68364,47.96738169,7.254704379,998,68
66134,42.56500785,2.804639014,998,66
29038,48.41023064,-3.970126872,997,29
71436,46.73050826,4.512027767,997,71
69184,45.60305686,4.572794533,997,69
44123,47.68909909,-1.774862648,997,44
10211,48.30576992,3.913659641,997,10
16046,45.47146548,0.023630214,997,16
67214,48.61717525,7.603400955,997,67
36055,46.93799367,1.221619917,996,36
79268,46.77039082,-0.15707915,996,79
57565,49.49185735,5.916214375,996,57
64157,43.14072784,-0.446234673,996,64
76135,49.55711574,0.89477121,996,76
54509,48.63603558,6.375712726,996,54
87148,45.72188359,1.367891719,996,87
16132,45.89075613,0.78327659,996,16
28130,48.52874298,1.135413997,996,28
33458,45.15009875,-0.590143245,996,33
40300,43.68323129,-1.060403639,996,40
31411,43.52465513,1.457203163,996,31
8188,49.81765886,4.844375653,995,8
27595,49.26037858,0.889845765,995,27
18092,47.0658935,2.641116387,995,18
1073,45.83355301,5.71933091,995,1
60542,49.40415361,2.188787235,995,60
76471,49.4816596,0.643538537,995,76
49090,47.62530572,-0.519918964,995,49
10381,48.27549347,3.972171276,995,10
74307,46.00043415,6.136259584,995,74
33260,44.46893861,-0.915096258,995,33
4110,44.0420072,6.118071472,994,4
14102,49.22781537,0.218766616,994,14
40061,43.8621881,-0.63917752,994,40
73284,45.47179642,6.530188055,994,73
62024,50.73356858,1.992792581,994,62
15108,44.93848913,3.205564373,994,15
46103,44.29106126,1.409147304,994,46
63055,45.83224742,2.810216937,994,63
18179,47.163963,2.44400034,994,18
42212,45.96169552,4.105137404,994,42
8316,49.82265855,4.806667789,993,8
16409,46.01180553,0.088619812,993,16
27294,49.34503501,1.36785643,993,27
86161,46.87742937,0.003562896,993,86
95541,49.21315419,1.70318156,993,95
72067,48.10389812,0.465068388,993,72
2217,49.51597096,3.31548893,992,2
86052,46.32298272,0.320405816,992,86
51046,49.24581587,4.238512358,992,51
84073,43.82437103,5.220871709,992,84
77188,48.4842449,2.767063542,992,77
12168,44.02061174,3.285653343,992,12
59237,50.75801154,2.64096481,992,59
54338,48.79166008,6.168012242,992,54
56077,47.59112936,-2.399751462,992,56
24472,44.80619,0.550308411,992,24
9042,43.0242795,1.426778854,992,9
85055,46.7873639,-1.624928633,992,85
47213,44.29408073,0.514265871,991,47
16193,45.72373658,-0.39737035,991,16
78516,48.63561437,1.689069252,991,78
18255,47.01830229,2.309887778,990,18
53110,47.8703921,-0.537813248,990,53
71238,46.21652721,4.076996928,990,71
54279,48.8646636,6.016062848,990,54
34296,43.75895478,4.050388006,989,34
27018,49.32226548,0.651047926,989,27
60064,49.42180757,3.000100787,989,60
38206,45.23590022,5.981504775,989,38
67011,48.20793735,7.600047026,989,67
12258,44.22104536,2.196735239,989,12
68013,47.56783287,7.469129692,989,68
42191,45.39128099,4.657529959,989,42
30046,43.99384369,4.179052179,989,30
68341,47.64424897,7.438020146,989,68
1397,46.31269082,6.110438364,988,1
47318,44.21220179,0.322783861,988,47
38407,45.34666149,5.666875563,988,38
49224,47.3363897,-0.018452694,988,49
21585,47.21068529,5.093857568,988,21
55492,49.10083883,5.476779027,988,55
17226,45.91581995,-0.559708232,988,17
53216,48.34886784,-0.574505181,987,53
14676,49.29263772,-0.645876714,987,14
80717,49.78539401,2.252994074,987,80
24236,45.18722343,0.553068374,987,24
77432,48.81254596,3.242040816,987,77
73208,45.69233198,5.95516144,987,73
1396,45.86540388,5.404161041,987,1
17298,45.63879106,-0.708723745,987,17
42195,45.73642872,3.960984619,987,42
21016,47.37591502,5.196291964,987,21
18026,47.50178525,2.846196596,986,18
60661,49.23990861,2.982302325,986,60
64270,43.15324059,-0.232545768,986,64
46007,44.45436983,1.547488981,986,46
47019,44.2587889,0.70193452,986,47
59318,50.88256789,2.582491549,986,59
48013,44.53990342,3.554042836,986,48
40181,43.81170439,-1.363802285,986,40
53162,48.26517902,-0.621214314,986,53
67247,48.56214907,7.58621737,986,67
85192,46.78525467,-0.996743019,986,85
36123,46.81206421,1.256691914,985,36
3022,46.20551323,3.066059901,985,3
15054,45.34880076,2.79188253,985,15
14656,48.93986425,-0.490066348,985,14
